Genl group,Order acro,Order,Family acro,Family,Subfam acro,Genus,Species,Species acro1,Species acro2,Uncertain Id1,Common name,Comments,Growth form,Growth form,Cultivated only?8,Plant type2,Plant type2,Plant type2,Habitat (weeds) 3,Habitat (weeds) 3,Habitat (weeds) 3,Habitat (weeds) 3,Location 4,Location 4,Location 4,Location 4,B2,B3 incl. hammock5,NWH (NW hammock),B5,B6,B10,B16,Status6,Status6,Sources7,,
A4.8,Lami,Lamiales,Acan,Acanthaceae,NA,Asystasia,gangetica,AsyGan,AsGa,NA,Chinese violet,NA,Herb,NA,N,Landsc,Weed,NA,L&L,NA,NA,NA,B2N,NA,NA,NA,B2N,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Lami,Lamiales,Acan,Acanthaceae,NA,Barleria,cristata,BarCri,BaCr,NA,Crested Philippine violet,"Resembles Hamelia patens but no stipules, nodes wider than stem",Herb,Shrub,N,Ham,NA,NA,NA,NA,NA,NA,Ham,B3H,NA,NA,NA,B3H,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Lami,Lamiales,Acan,Acanthaceae,NA,Dyschoriste,angusta,DysAng,DyAn,NA,NA,NA,NA,NA,N,Roc,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4only],,
A4.8,Lami,Lamiales,Acan,Acanthaceae,NA,Graptophyllum,pictum,GraPic,GrPi,NA,Autograph plant,NA,Shrub,Tree,Y,Landsc,NA,NA,NA,NA,NA,NA,8260,Tchng,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,
A4.8,Lami,Lamiales,Acan,Acanthaceae,NA,Odontonema,strictum,OdoStr,OdSt,NA,Fire spike,NA,Shrub,Tree,Y,Landsc,NA,NA,NA,NA,NA,NA,8219,Hydrology,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,
A4.8,Lami,Lamiales,Acan,Acanthaceae,NA,Ruellia,blechum,RueBle,RuBl,NA,Green shrimp plant,NA,Herb,NA,N,Weed,NA,NA,L&L,NA,NA,NA,WdDi,B3H,NWH,NA,WdDi,WdDi,NWH,NA,NA,WdDi,WdDi,NA,NA,[4also],,
A4.8,Lami,Lamiales,Acan,Acanthaceae,NA,Ruellia,ciliatiflora,RueCil,RuCi,NA,NA,NA,Herb,NA,N,Weed,NA,NA,L&L,NA,NA,NA,WdDi,NA,NA,NA,WdDi,B3H,NWH,NA,NA,WdDi,WdDi,H,NA,[4also],,
A4.8,Lami,Lamiales,Acan,Acanthaceae,NA,Ruellia,simplex,RueSim,RuSi,NA,NA,NA,Herb,Shrub,N,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Lami,Lamiales,Acan,Acanthaceae,NA,Ruellia,succulenta,RueSuc,RuSu,NA,NA,NA,NA,NA,N,Roc,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4only],,
A1,Fern,Fern,Adia,Adiantaceae,NA,Ptyrogramma,trifoliata,PtyTri,PtTr,NA,Fern,NA,Herb,NA,N,Native,Weed,NA,G&P,NA,NA,NA,NA,NA,NA,NA,NF,NF,NA,NA,NA,NF,NA,H,NA,NA,,
